t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
2.0484258643e-01,-3.9536146000e-02,1.9572891080e-01,5.3713304933e-02,-5.9619576885e-03,1.0000001158e+00,-1.5318974654e-01,-1.9987185680e+00,1.6949604312e-01,-2.3096003368e-02,-2.7749618449e-06,2,0.0000000000e+00,1.8324157427e+00
2.0798311929e-01,-4.0010448839e-02,1.8940328590e-01,5.4238099832e-02,-6.0334658135e-03,1.0000001072e+00,-1.4886268942e-01,-2.0296594981e+00,1.6471142309e-01,-2.2442837576e-02,-2.7002319309e-06,2,0.0000000000e+00,1.8325861853e+00
2.1112253360e-01,-4.0471003254e-02,1.8298278371e-01,5.4747691825e-02,-6.1028986208e-03,1.0000000988e+00,-1.4453964285e-01,-2.0605964120e+00,1.5993089409e-01,-2.1790254665e-02,-2.6212726209e-06,2,0.0000000000e+00,1.8305445770e+00
2.1426114785e-01,-4.0917884225e-02,1.7646682076e-01,5.5242162790e-02,-6.1702673498e-03,1.0000000907e+00,-1.4022526463e-01,-2.0915319289e+00,1.5515961687e-01,-2.1138958337e-02,-2.5386327915e-06,2,0.0000000000e+00,1.8263878830e+00
2.1739929592e-01,-4.1351178937e-02,1.6985474310e-01,5.5721608142e-02,-6.2355850842e-03,1.0000000828e+00,-1.3592396332e-01,-2.1224688241e+00,1.5040247742e-01,-2.0489614734e-02,-2.4528375670e-06,2,0.0000000000e+00,1.8202105853e+00
2.2053748833e-01,-4.1771006987e-02,1.6314547671e-01,5.6186159184e-02,-6.2988697971e-03,1.0000000752e+00,-1.3163968806e-01,-2.1534116199e+00,1.4566385436e-01,-1.9842820703e-02,-2.3643814742e-06,2,0.0000000000e+00,1.8121042183e+00
2.2367628686e-01,-4.2177500000e-02,1.5633777398e-01,5.6635960567e-02,-6.3601412784e-03,1.0000000679e+00,-1.2737611379e-01,-2.1843653522e+00,1.4094782369e-01,-1.9199131751e-02,-2.2737336909e-06,2,0.0000000000e+00,1.8021573487e+00
2.2681613264e-01,-4.2570778812e-02,1.4943058656e-01,5.7071145033e-02,-6.4194176951e-03,1.0000000609e+00,-1.2313688569e-01,-2.2153338750e+00,1.3625842905e-01,-1.8559098938e-02,-2.1813450449e-06,2,0.0000000000e+00,1.7904562243e+00
2.2995733009e-01,-4.2950953598e-02,1.4242312015e-01,5.7491833559e-02,-6.4767156110e-03,1.0000000542e+00,-1.1892564542e-01,-2.2463197018e+00,1.3159971075e-01,-1.7923272839e-02,-2.0876489497e-06,2,0.0000000000e+00,1.7770852720e+00
2.3310020194e-01,-4.3318144040e-02,1.3531450238e-01,5.7898157680e-02,-6.5320530271e-03,1.0000000478e+00,-1.1474582687e-01,-2.2773255355e+00,1.2697547975e-01,-1.7292172695e-02,-1.9930541604e-06,2,0.0000000000e+00,1.7621267354e+00
